Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,527603107,6768.880302105316,3170907,40.681128763913556,457276,6290452,80.70330911477933,8905,0.11424663405222861,971,
United States of America,Americas,83188551,25132.291,639314,193.145,51359,997161,301.255,2068,0.625,49
India,South-East Asia,43160832,3127.587,18640,1.351,2745,524636,38.017,129,0.009,6
Brazil,Americas,30977661,14573.648,173666,81.702,24082,666516,313.567,850,0.4,63
France,Europe,28638186,44032.085,119247,183.346,35142,145031,222.99,301,0.463,76
Germany,Europe,26360953,31696.52,172797,207.772,36367,139091,167.244,33,0.04,3
The United Kingdom,Europe,22300591,32850.057,37455,55.173,3974,178659,263.175,232,0.342,13
Russian Federation,Europe,18335514,12564.211,29541,20.243,4151,379200,259.843,591,0.405,83
Republic of Korea,Western Pacific,18119415,35341.726,101511,197.996,15797,24197,47.196,168,0.328,21
Italy,Europe,17421410,29210.22,131977,221.284,24687,166697,279.498,547,0.917,66
Turkey,Europe,15072747,17871.607,7223,8.564,975,98965,117.342,26,0.031,4
Spain,Europe,12360256,26113.614,48779,103.056,33992,106493,224.989,425,0.898,152
Viet Nam,Western Pacific,10719379,11012.467,7990,8.208,1010,43079,44.257,3,0.003,1
Argentina,Americas,9230573,20423.531,51778,114.564,0,128889,285.179,64,0.142,0
Japan,Western Pacific,8850282,6997.572,179161,141.656,19982,30618,24.208,249,0.197,36
Netherlands,Europe,8085869,46450.263,7088,40.718,1341,22322,128.231,13,0.075,4
Australia,Western Pacific,7272057,28518,251852,987.659,33992,8521,33.416,343,1.345,52
Iran (Islamic Republic of),Eastern Mediterranean,7232034,8610.287,1445,1.72,232,141315,168.246,27,0.032,5
Colombia,Americas,6103455,11995.103,4344,8.537,0,139854,274.855,21,0.041,0
Indonesia,South-East Asia,6055341,2213.827,1917,0.701,368,156594,57.251,41,0.015,3
Poland,Europe,6007840,15827.541,1542,4.062,256,116326,306.459,35,0.092,7
Mexico,Americas,5775660,4479.591,10241,7.943,1340,324925,252.011,18,0.014,2
Ukraine,Europe,5011433,11458.958,0,0,0,108538,248.179,0,0,0
Portugal,Europe,4717243,45816.673,175766,1707.144,35174,23150,224.847,220,2.137,32
Malaysia,Western Pacific,4506510,13923.593,11728,36.236,1451,35676,110.227,29,0.09,7
Thailand,South-East Asia,4455020,6382.552,30270,43.367,4563,30047,43.047,203,0.291,28
Austria,Europe,4289988,48196.35,15488,174.002,2345,19931,223.917,25,0.281,2
Belgium,Europe,4152558,36038.877,4552,39.506,0,31754,275.584,27,0.234,0
Israel,Europe,4138523,47813.568,10645,122.985,212,10852,125.376,6,0.069,0
South Africa,Africa,3954971,6668.451,19210,32.39,0,101162,170.569,160,0.27,0
Czechia,Europe,3920299,36659.074,1549,14.485,293,40288,376.737,7,0.065,1
Canada,Americas,3866544,10244.63,13173,34.903,947,40995,108.619,182,0.482,1
Chile,Americas,3702941,19370.695,51865,271.314,4274,57892,302.843,79,0.413,5
Philippines,Western Pacific,3690581,3367.9,1300,1.186,133,60455,55.169,0,0,0
Switzerland,Europe,3657550,42261.253,5209,60.188,4,13259,153.201,1,0.012,0
Peru,Americas,3580347,10858.798,4038,12.247,296,213186,646.57,70,0.212,13
Greece,Europe,3453229,32217.27,25161,234.742,5080,29845,278.442,115,1.073,12
Denmark,Europe,3136896,53872.981,3389,58.203,712,6363,109.278,28,0.481,5
China,Western Pacific,3019388,205.221,565305,38.422,80854,16859,1.146,787,0.053,90
Romania,Europe,2909195,15051.06,2419,12.515,491,65684,339.824,21,0.109,6
Sweden,Europe,2507948,24283.964,310,3.002,0,18977,183.751,0,0,0
Iraq,Eastern Mediterranean,2328154,5788.189,668,1.661,135,25219,62.699,1,0.002,0
Serbia,Europe,2017454,29125.739,1743,25.163,265,16081,232.159,11,0.159,1
Bangladesh,South-East Asia,1953507,1186.177,209,0.127,26,29131,17.688,1,0.001,0
Hungary,Europe,1919840,19651.312,2063,21.117,2063,46547,476.451,40,0.409,40
Slovakia,Europe,1789752,32792.115,887,16.252,142,20100,368.275,12,0.22,0
Jordan,Eastern Mediterranean,1696937,16631.527,269,2.636,0,14066,137.86,0,0,0
Georgia,Europe,1657154,41541.271,0,0,0,16825,421.766,0,0,0
Ireland,Europe,1561632,31456.358,720,14.503,0,7304,147.126,4,0.081,0
Pakistan,Eastern Mediterranean,1530387,692.82,489,0.221,54,30379,13.753,0,0,0
Norway,Europe,1433260,26702.164,1267,23.605,167,3141,58.518,0,0,0
Kazakhstan,Europe,1394909,7428.933,86,0.458,11,19016,101.274,1,0.005,0
Singapore,Western Pacific,1303294,22277.228,25181,430.419,4985,1389,23.742,11,0.188,3
Morocco,Eastern Mediterranean,1168303,3165.227,1387,3.758,320,16076,43.554,1,0.003,0
New Zealand,Western Pacific,1165498,24169.259,48250,1000.574,8271,1140,23.641,99,2.053,12
Bulgaria,Europe,1165167,16761.419,1361,19.579,182,37148,534.39,39,0.561,3
Croatia,Europe,1136500,28005.268,1959,48.273,47,15987,393.947,17,0.419,3
Cuba,Americas,1105319,9758.599,272,2.401,29,8529,75.301,0,0,0
Lebanon,Eastern Mediterranean,1099265,16105.397,555,8.131,66,10431,152.825,10,0.147,2
Finland,Europe,1092193,19767.154,947,17.139,0,4522,81.842,0,0,0
Lithuania,Europe,1062669,38032.741,732,26.198,145,9146,327.334,6,0.215,0
Tunisia,Eastern Mediterranean,1042872,8823.975,510,4.315,510,28641,242.338,9,0.076,9
Slovenia,Europe,1025040,48907.824,1823,86.981,381,7782,371.303,2,0.095,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979152,3360.533,61,0.209,12,11952,41.02,0,0,0
Uruguay,Americas,925777,26650.805,9389,270.286,0,7238,208.364,11,0.317,0
Mongolia,Western Pacific,925073,28218.156,1038,31.663,0,2115,64.515,1,0.031,0
Bolivia (Plurinational State of),Americas,908862,7786.005,1397,11.968,203,21948,188.023,3,0.026,1
United Arab Emirates,Eastern Mediterranean,908205,9182.69,2737,27.673,381,2305,23.305,3,0.03,0
Costa Rica,Americas,891038,17491.507,13505,265.11,0,8495,166.761,23,0.452,0
Ecuador,Americas,877282,4972.393,2563,14.527,149,35637,201.989,20,0.113,5
Guatemala,Americas,860169,4801.238,3593,20.055,71,18131,101.202,162,0.904,14
Panama,Americas,854449,19802.9,22404,519.24,1842,8254,191.297,25,0.579,5
Latvia,Europe,828614,43435.805,1177,61.698,208,5824,305.293,7,0.367,1
Azerbaijan,Europe,792767,7818.851,44,0.434,8,9713,95.797,3,0.03,0
Saudi Arabia,Eastern Mediterranean,768079,2206.244,3830,11.001,667,9148,26.277,14,0.04,3
Puerto Rico,Americas,670234,23427.768,30275,1058.251,946,4363,152.507,46,1.608,4
Sri Lanka,South-East Asia,663838,3100.127,52,0.243,4,16518,77.139,5,0.023,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657705,12892.602,132,2.588,0,5660,110.95,0,0,0
Paraguay,Americas,650661,9122.433,378,5.3,0,18894,264.899,9,0.126,0
Kuwait,Eastern Mediterranean,633225,14827.642,237,5.55,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613348,1127.275,92,0.169,12,19434,35.718,0,0,0
Bahrain,Eastern Mediterranean,585665,34418.994,3378,198.522,583,1488,87.448,4,0.235,0
Dominican Republic,Americas,583722,5380.963,2075,19.128,0,4377,40.349,0,0,0
Estonia,Europe,576870,43407.104,716,53.876,0,2574,193.683,6,0.451,0
Venezuela (Bolivarian Republic of),Americas,523625,1841.42,248,0.872,7,5721,20.119,5,0.018,0
Republic of Moldova,Europe,518967,12864.942,222,5.503,0,11544,286.17,7,0.174,0
Egypt,Eastern Mediterranean,513944,502.22,28,0.027,0,24718,24.154,14,0.014,0
Libya,Eastern Mediterranean,502016,7305.991,29,0.422,0,6430,93.578,0,0,0
Cyprus,Europe,489963,55175.703,1774,199.774,0,1059,119.256,2,0.225,0
Ethiopia,Africa,472346,410.866,819,0.712,0,7513,6.535,1,0.001,0
Honduras,Americas,425304,4294.002,445,4.493,191,10899,110.04,3,0.03,0
Armenia,Europe,422963,14273.696,19,0.641,0,8625,291.067,1,0.034,0
Réunion,Africa,414615,46309.555,0,0,0,777,86.785,0,0,0
Oman,Eastern Mediterranean,389473,7626.817,0,0,0,4260,83.421,0,0,0
Bosnia and Herzegovina,Europe,377904,11518.601,135,4.115,16,15788,481.222,2,0.061,1
Qatar,Eastern Mediterranean,368788,12800.459,1352,46.927,269,677,23.498,0,0,0
Kenya,Africa,324768,603.98,419,0.779,0,5651,10.509,0,0,0
Zambia,Africa,321503,1748.824,208,1.131,0,2856,15.535,0,0,0
North Macedonia,Europe,311936,14972.593,586,28.127,85,9303,446.534,6,0.288,0
Botswana,Africa,306696,13041.864,0,0,0,2695,114.602,0,0,0
Albania,Europe,276101,9594.169,162,5.629,0,3497,121.516,0,0,0
Algeria,Africa,265877,606.319,17,0.039,0,6875,15.678,0,0,0
Nigeria,Africa,256028,124.201,56,0.027,0,3143,1.525,0,0,0
Zimbabwe,Africa,251092,1689.385,-136,-0.915,0,5500,37.005,4,0.027,0
Luxembourg,Europe,248279,39654.341,1257,200.764,344,1078,172.175,1,0.16,0
Uzbekistan,Europe,239028,714.173,64,0.191,0,1637,4.891,0,0,0
Montenegro,Europe,237282,37780.028,483,76.903,111,2720,433.078,1,0.159,0
Kosovo[1],Europe,228316,12714.837,38,2.116,6,3129,174.253,0,0,0
Mauritius,Africa,225862,17759.686,0,0,0,996,78.316,0,0,0
Mozambique,Africa,225709,722.143,109,0.349,0,2203,7.048,0,0,0
Lao People's Democratic Republic,Western Pacific,209989,2886.225,166,2.282,14,756,10.391,0,0,0
Kyrgyzstan,Europe,200993,3080.734,0,0,0,2991,45.845,0,0,0
Iceland,Europe,188291,51709.261,629,172.739,101,153,42.017,0,0,0
Afghanistan,Eastern Mediterranean,180347,463.279,512,1.315,84,7705,19.793,6,0.015,2
Maldives,South-East Asia,179753,33254.092,39,7.215,0,298,55.13,0,0,0
Martinique,Americas,167516,44639.388,5353,1426.459,0,938,249.957,20,5.33,0
Uganda,Africa,164366,359.341,0,0,0,3602,7.875,0,0,0
Namibia,Africa,163455,6432.944,790,31.091,0,4037,158.88,2,0.079,0
El Salvador,Americas,162755,2509.248,666,10.268,0,4132,63.704,1,0.015,0
Trinidad and Tobago,Americas,161435,11535.29,2767,197.715,227,3916,279.817,21,1.501,4
Ghana,Africa,161370,519.326,0,0,0,1445,4.65,0,0,0
Guadeloupe,Americas,160363,40078.326,2498,624.306,0,948,236.927,1,0.25,0
